Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Production,Season,Source,Start_Hour
1/18/2020,Saturday,18,2,January,6361,Winter,Wind,1
1/18/2020,Saturday,18,15,January,2528,Winter,Solar,14
1/18/2020,Saturday,18,14,January,2851,Winter,Solar,13
1/18/2020,Saturday,18,6,January,4645,Winter,Wind,5
1/18/2020,Saturday,18,12,January,2605,Winter,Solar,11
1/18/2020,Saturday,18,3,January,6028,Winter,Wind,2
1/18/2020,Saturday,18,1,January,6489,Winter,Wind,0
1/18/2020,Saturday,18,19,January,2546,Winter,Wind,18
1/18/2020,Saturday,18,4,January,5669,Winter,Wind,3
1/18/2020,Saturday,18,16,January,2129,Winter,Solar,15
1/18/2020,Saturday,18,22,January,4064,Winter,Wind,21
1/18/2020,Saturday,18,21,January,3704,Winter,Wind,20
1/18/2020,Saturday,18,10,January,3050,Winter,Wind,9
1/18/2020,Saturday,18,7,January,3971,Winter,Wind,6
1/19/2020,Sunday,19,1,January,3878,Winter,Wind,0
1/19/2020,Sunday,19,13,January,7168,Winter,Wind,12
1/19/2020,Sunday,19,3,January,4247,Winter,Wind,2
1/19/2020,Sunday,19,0,January,6960,Winter,Wind,23
1/19/2020,Sunday,19,9,January,5257,Winter,Wind,8
1/19/2020,Sunday,19,23,January,7141,Winter,Wind,22
1/19/2020,Sunday,19,15,January,8008,Winter,Wind,14
1/19/2020,Sunday,19,20,January,6773,Winter,Wind,19
1/19/2020,Sunday,19,8,January,5048,Winter,Wind,7
